core,rack,site,site_depth,column_depth,cross_section_area,midge_treat,sampledate,adults,pupae,comments,midges,cumem,prop,days,adults_rate,midge_z,midge_density
1,1,E2,2.8,13,19.63,0,2017-07-24,1,0,NA,0,1,NA,1,1,-0.5907269532815761,0
1,1,E2,2.8,13,19.63,0,2017-07-25,2,0,NA,0,3,NA,1,2,-0.5907269532815761,0
1,1,E2,2.8,13,19.63,0,2017-07-28,6,0,NA,0,9,NA,3,2,-0.5907269532815761,0
1,1,E2,2.8,13,19.63,0,2017-07-30,0,0,NA,0,9,NA,2,0,-0.5907269532815761,0
1,1,E2,2.8,13,19.63,0,2017-08-01,4,0,NA,0,13,NA,2,2,-0.5907269532815761,0
1,1,E2,2.8,13,19.63,0,2017-08-03,0,0,NA,0,13,NA,2,0,-0.5907269532815761,0
1,1,E2,2.8,13,19.63,0,2017-08-06,0,0,NA,0,13,NA,3,0,-0.5907269532815761,0
2,1,E2,2.8,13,19.63,50,2017-07-24,3,0,NA,25471,3,0.06,1,3,-0.2531686942635326,25471
2,1,E2,2.8,13,19.63,50,2017-07-25,2,0,NA,25471,5,0.1,1,2,-0.2531686942635326,25471
2,1,E2,2.8,13,19.63,50,2017-07-28,4,0,NA,25471,9,0.18,3,1.3333333333333333,-0.2531686942635326,25471
2,1,E2,2.8,13,19.63,50,2017-07-30,1,0,NA,25471,10,0.2,2,0.5,-0.2531686942635326,25471
2,1,E2,2.8,13,19.63,50,2017-08-01,3,0,NA,25471,13,0.26,2,1.5,-0.2531686942635326,25471
2,1,E2,2.8,13,19.63,50,2017-08-03,0,0,NA,25471,13,0.26,2,0,-0.2531686942635326,25471
2,1,E2,2.8,13,19.63,50,2017-08-06,1,0,NA,25471,14,0.28,3,0.3333333333333333,-0.2531686942635326,25471
3,1,E2,2.8,13,19.63,50,2017-07-24,3,0,NA,25471,3,0.06,1,3,-0.2531686942635326,25471
3,1,E2,2.8,13,19.63,50,2017-07-25,2,0,NA,25471,5,0.1,1,2,-0.2531686942635326,25471
3,1,E2,2.8,13,19.63,50,2017-07-28,12,0,NA,25471,17,0.34,3,4,-0.2531686942635326,25471
3,1,E2,2.8,13,19.63,50,2017-07-30,5,0,NA,25471,22,0.44,2,2.5,-0.2531686942635326,25471
3,1,E2,2.8,13,19.63,50,2017-08-01,2,0,NA,25471,24,0.48,2,1,-0.2531686942635326,25471
3,1,E2,2.8,13,19.63,50,2017-08-03,4,0,NA,25471,28,0.56,2,2,-0.2531686942635326,25471
3,1,E2,2.8,13,19.63,50,2017-08-06,1,0,NA,25471,29,0.58,3,0.3333333333333333,-0.2531686942635326,25471
4,1,E2,2.8,13,19.63,0,2017-07-24,1,0,NA,0,1,NA,1,1,-0.5907269532815761,0
4,1,E2,2.8,13,19.63,0,2017-07-25,2,0,NA,0,3,NA,1,2,-0.5907269532815761,0
4,1,E2,2.8,13,19.63,0,2017-07-28,4,0,NA,0,7,NA,3,1.3333333333333333,-0.5907269532815761,0
4,1,E2,2.8,13,19.63,0,2017-07-30,3,0,NA,0,10,NA,2,1.5,-0.5907269532815761,0
4,1,E2,2.8,13,19.63,0,2017-08-01,0,0,NA,0,10,NA,2,0,-0.5907269532815761,0
4,1,E2,2.8,13,19.63,0,2017-08-03,0,0,NA,0,10,NA,2,0,-0.5907269532815761,0
4,1,E2,2.8,13,19.63,0,2017-08-06,1,0,NA,0,11,NA,3,0.3333333333333333,-0.5907269532815761,0
5,1,E2,2.8,13,19.63,100,2017-07-24,5,0,NA,50942,5,0.05,1,5,0.08438956475451087,50942
5,1,E2,2.8,13,19.63,100,2017-07-25,0,0,NA,50942,5,0.05,1,0,0.08438956475451087,50942
5,1,E2,2.8,13,19.63,100,2017-07-28,5,0,NA,50942,10,0.1,3,1.6666666666666667,0.08438956475451087,50942
5,1,E2,2.8,13,19.63,100,2017-07-30,3,0,NA,50942,13,0.13,2,1.5,0.08438956475451087,50942
5,1,E2,2.8,13,19.63,100,2017-08-01,1,0,NA,50942,14,0.14,2,0.5,0.08438956475451087,50942
5,1,E2,2.8,13,19.63,100,2017-08-03,2,1,NA,50942,16,0.16,2,1,0.08438956475451087,50942
5,1,E2,2.8,13,19.63,100,2017-08-06,0,0,NA,50942,16,0.16,3,0,0.08438956475451087,50942
6,1,E2,2.8,13,19.63,200,2017-07-24,12,0,NA,101885,12,0.06,1,12,0.7595060827905978,101885
6,1,E2,2.8,13,19.63,200,2017-07-25,4,0,NA,101885,16,0.08,1,4,0.7595060827905978,101885
6,1,E2,2.8,13,19.63,200,2017-07-28,5,0,NA,101885,21,0.105,3,1.6666666666666667,0.7595060827905978,101885
6,1,E2,2.8,13,19.63,200,2017-07-30,7,0,NA,101885,28,0.14,2,3.5,0.7595060827905978,101885
6,1,E2,2.8,13,19.63,200,2017-08-01,1,0,NA,101885,29,0.145,2,0.5,0.7595060827905978,101885
6,1,E2,2.8,13,19.63,200,2017-08-03,2,0,NA,101885,31,0.155,2,1,0.7595060827905978,101885
6,1,E2,2.8,13,19.63,200,2017-08-06,2,0,NA,101885,33,0.165,3,0.6666666666666666,0.7595060827905978,101885
7,1,E2,2.8,13,19.63,200,2017-07-24,10,0,NA,101885,10,0.05,1,10,0.7595060827905978,101885
7,1,E2,2.8,13,19.63,200,2017-07-25,5,0,NA,101885,15,0.075,1,5,0.7595060827905978,101885
7,1,E2,2.8,13,19.63,200,2017-07-28,7,0,NA,101885,22,0.11,3,2.3333333333333335,0.7595060827905978,101885
7,1,E2,2.8,13,19.63,200,2017-07-30,3,0,NA,101885,25,0.125,2,1.5,0.7595060827905978,101885
7,1,E2,2.8,13,19.63,200,2017-08-01,0,0,hole in bag,101885,25,0.125,2,0,0.7595060827905978,101885
7,1,E2,2.8,13,19.63,200,2017-08-03,2,0,NA,101885,27,0.135,2,1,0.7595060827905978,101885
7,1,E2,2.8,13,19.63,200,2017-08-06,2,0,NA,101885,29,0.145,3,0.6666666666666666,0.7595060827905978,101885
8,1,E2,2.8,13,19.63,100,2017-07-24,15,0,NA,50942,15,0.15,1,15,0.08438956475451087,50942
8,1,E2,2.8,13,19.63,100,2017-07-25,8,0,NA,50942,23,0.23,1,8,0.08438956475451087,50942
8,1,E2,2.8,13,19.63,100,2017-07-28,6,0,NA,50942,29,0.29,3,2,0.08438956475451087,50942
8,1,E2,2.8,13,19.63,100,2017-07-30,3,0,NA,50942,32,0.32,2,1.5,0.08438956475451087,50942
8,1,E2,2.8,13,19.63,100,2017-08-01,3,0,NA,50942,35,0.35,2,1.5,0.08438956475451087,50942
8,1,E2,2.8,13,19.63,100,2017-08-03,2,0,NA,50942,37,0.37,2,1,0.08438956475451087,50942
8,1,E2,2.8,13,19.63,100,2017-08-06,4,0,NA,50942,41,0.41,3,1.3333333333333333,0.08438956475451087,50942
9,2,E2,2.8,13,19.63,0,2017-07-24,1,0,NA,0,1,NA,1,1,-0.5907269532815761,0
9,2,E2,2.8,13,19.63,0,2017-07-25,0,0,NA,0,1,NA,1,0,-0.5907269532815761,0
9,2,E2,2.8,13,19.63,0,2017-07-28,2,0,NA,0,3,NA,3,0.6666666666666666,-0.5907269532815761,0
9,2,E2,2.8,13,19.63,0,2017-07-30,4,0,NA,0,7,NA,2,2,-0.5907269532815761,0
9,2,E2,2.8,13,19.63,0,2017-08-01,1,0,NA,0,8,NA,2,0.5,-0.5907269532815761,0
9,2,E2,2.8,13,19.63,0,2017-08-03,5,0,NA,0,13,NA,2,2.5,-0.5907269532815761,0
9,2,E2,2.8,13,19.63,0,2017-08-06,2,0,NA,0,15,NA,3,0.6666666666666666,-0.5907269532815761,0
