rack,sampledate,sampletime,temperature,light_intensity
1,2017-07-06,2017-07-06T00:23:00Z,13.558,75.3
1,2017-07-06,2017-07-06T00:53:00Z,13.558,43.1
1,2017-07-06,2017-07-06T01:23:00Z,13.461,43.1
1,2017-07-06,2017-07-06T01:53:00Z,13.461,53.8
1,2017-07-06,2017-07-06T02:23:00Z,13.461,86.1
1,2017-07-06,2017-07-06T02:53:00Z,13.461,139.9
1,2017-07-06,2017-07-06T03:23:00Z,13.461,269.1
1,2017-07-06,2017-07-06T03:53:00Z,13.365,226
1,2017-07-06,2017-07-06T04:23:00Z,13.365,236.8
1,2017-07-06,2017-07-06T04:53:00Z,13.365,441.3
1,2017-07-06,2017-07-06T05:23:00Z,13.269,538.2
1,2017-07-06,2017-07-06T05:53:00Z,13.269,645.8
1,2017-07-06,2017-07-06T06:23:00Z,13.269,699.7
1,2017-07-06,2017-07-06T06:53:00Z,13.173,839.6
1,2017-07-06,2017-07-06T07:23:00Z,13.173,1377.8
1,2017-07-06,2017-07-06T07:53:00Z,13.173,1216.3
1,2017-07-06,2017-07-06T08:23:00Z,13.173,1280.9
1,2017-07-06,2017-07-06T08:53:00Z,13.173,1270.1
1,2017-07-06,2017-07-06T09:23:00Z,13.076,1173.3
1,2017-07-06,2017-07-06T09:53:00Z,13.076,2066.7
1,2017-07-06,2017-07-06T10:23:00Z,13.173,3788.9
1,2017-07-06,2017-07-06T10:53:00Z,13.173,3961.1
1,2017-07-06,2017-07-06T11:23:00Z,13.269,3961.1
1,2017-07-06,2017-07-06T11:53:00Z,13.365,5511.1
1,2017-07-06,2017-07-06T12:23:00Z,13.365,5338.9
1,2017-07-06,2017-07-06T12:53:00Z,13.461,6200
1,2017-07-06,2017-07-06T13:23:00Z,13.461,7233.4
1,2017-07-06,2017-07-06T13:53:00Z,13.269,3444.5
1,2017-07-06,2017-07-06T14:23:00Z,13.269,2411.1
1,2017-07-06,2017-07-06T14:53:00Z,13.269,2669.5
1,2017-07-06,2017-07-06T15:23:00Z,13.173,1722.2
1,2017-07-06,2017-07-06T15:53:00Z,13.269,4650
1,2017-07-06,2017-07-06T16:23:00Z,13.365,6200
1,2017-07-06,2017-07-06T16:53:00Z,13.365,3961.1
1,2017-07-06,2017-07-06T17:23:00Z,13.461,6544.5
1,2017-07-06,2017-07-06T17:53:00Z,13.461,4822.3
1,2017-07-06,2017-07-06T18:23:00Z,13.365,1550
1,2017-07-06,2017-07-06T18:53:00Z,13.558,3961.1
1,2017-07-06,2017-07-06T19:23:00Z,13.558,1980.6
1,2017-07-06,2017-07-06T19:53:00Z,13.558,731.9
1,2017-07-06,2017-07-06T20:23:00Z,13.558,979.5
1,2017-07-06,2017-07-06T20:53:00Z,13.558,742.7
1,2017-07-06,2017-07-06T21:23:00Z,13.558,570.5
