core,rack,trial,sampledate,site,midge_density,midge_treat,type,met,shade,temperature,par
1,1,0,2017-07-10,E2,0,0,gpp,0.06448053449826556,light,11.785666666666666,236.00987654320988
1,1,1,2017-07-21,E2,0,0,gpp,0.09398537549407117,light,13.292571428571428,112.56587301587302
2,1,0,2017-07-10,E2,25471,50,gpp,0.07380763319672125,light,11.785666666666666,236.00987654320988
2,1,1,2017-07-21,E2,25471,50,gpp,0.09932639413224027,light,13.292571428571428,112.56587301587302
3,1,0,2017-07-10,E2,25471,50,gpp,0.06958158567774932,light,11.785666666666666,236.00987654320988
3,1,1,2017-07-21,E2,25471,50,gpp,0.1040174534634784,light,13.292571428571428,112.56587301587302
4,1,0,2017-07-10,E2,0,0,gpp,0.05866675133350269,light,11.785666666666666,236.00987654320988
4,1,1,2017-07-21,E2,0,0,gpp,0.09011506223012455,light,13.292571428571428,112.56587301587302
5,1,0,2017-07-10,E2,50942,100,gpp,0.09829413258826517,light,11.785666666666666,236.00987654320988
5,1,1,2017-07-21,E2,50942,100,gpp,0.10112817147856512,light,13.292571428571428,112.56587301587302
6,1,0,2017-07-10,E2,101885,200,gpp,0.09252339045854557,light,11.785666666666666,236.00987654320988
6,1,1,2017-07-21,E2,101885,200,gpp,0.0881942172897196,light,13.292571428571428,112.56587301587302
7,1,0,2017-07-10,E2,101885,200,gpp,0.07725502846299806,light,11.785666666666666,236.00987654320988
7,1,1,2017-07-21,E2,101885,200,gpp,0.08495501654605625,light,13.292571428571428,112.56587301587302
8,1,0,2017-07-10,E2,50942,100,gpp,0.12149134700408432,light,11.785666666666666,236.00987654320988
8,1,1,2017-07-21,E2,50942,100,gpp,0.09200491320013113,light,13.292571428571428,112.56587301587302
9,2,0,2017-07-11,E2,0,0,gpp,0.057641740902914115,light,12.072666666666667,310.42716049382716
9,2,1,2017-07-23,E2,0,0,gpp,0.12369535519125677,light,17.9316,256.4218518518519
10,2,0,2017-07-11,E2,25471,50,gpp,0.0833757842494616,light,12.072666666666667,310.42716049382716
10,2,1,2017-07-23,E2,25471,50,gpp,0.16691918665276326,light,17.9316,256.4218518518519
11,2,0,2017-07-11,E2,25471,50,gpp,0.07579591836734688,light,12.072666666666667,310.42716049382716
11,2,1,2017-07-23,E2,25471,50,gpp,0.1551425964546403,light,17.9316,256.4218518518519
12,2,0,2017-07-11,E2,0,0,gpp,0.06630161235765031,light,12.072666666666667,310.42716049382716
12,2,1,2017-07-23,E2,0,0,gpp,0.15822653806047965,light,17.9316,256.4218518518519
13,2,0,2017-07-11,E2,50942,100,gpp,0.09648561677230615,light,12.072666666666667,310.42716049382716
13,2,1,2017-07-23,E2,50942,100,gpp,0.16857142857142865,light,17.9316,256.4218518518519
14,2,0,2017-07-11,E2,101885,200,gpp,0.10410775231594341,light,12.072666666666667,310.42716049382716
14,2,1,2017-07-23,E2,101885,200,gpp,0.17935369670804097,light,17.9316,256.4218518518519
15,2,0,2017-07-11,E2,101885,200,gpp,0.10426858297776784,light,12.072666666666667,310.42716049382716
15,2,1,2017-07-23,E2,101885,200,gpp,0.15660194279546674,light,17.9316,256.4218518518519
16,2,0,2017-07-11,E2,50942,100,gpp,0.10510009319664497,light,12.072666666666667,310.42716049382716
16,2,1,2017-07-23,E2,50942,100,gpp,0.18042317720907772,light,17.9316,256.4218518518519
17,3,0,2017-07-11,E3,0,0,gpp,0.04320822700438012,light,12.9796,119.91814814814815
17,3,1,2017-07-23,E3,0,0,gpp,0.12872708046949344,light,15.47325,420.9902777777778
18,3,1,2017-07-23,E3,25471,50,gpp,0.14196489372951254,light,15.47325,420.9902777777778
19,3,0,2017-07-11,E3,25471,50,gpp,0.1050081127404304,light,12.9796,119.91814814814815
